Player Name,Position
Will Barton,Guard
Jordan Goodwin,Guard
Deni Avdija,Forward
Vernon Carey Jr.,Forward-Center
Isaiah Todd,Forward
Anthony Gill,Forward
Daniel Gafford,Forward-Center
Monte Morris,Guard
Corey Kispert,Forward
Kyle Kuzma,Forward
Delon Wright,Guard
Taj Gibson,Forward
Wes Unsled Jr.,Head Coach
Joseph Blair,Assistant Coach
Mike Miller,Assistant Coach
Pat Delany,Assistant Coach
Zach Guthrie,Assistant Coach
Ryan Richman,Assistant Coach
Dean Oliver,Assistant Coach
Alex McLean,Assistant Coach
James Posey,Assistant Coach
